"KLBot2",0.0011381867933886235,0.5679552099009231,17
"Glovacki",0.0015866244826719552,0.7917256168533057,3
"Zerged",0.0017645501383430542,0.880510519033184,146
"Donarreiskoffer",5.411492769603943E-5,0.027003348920323675,1
"Løken",5.85981961058416E-4,0.29240499856814955,1
"Haplology",0.0015258878618880087,0.7614180430821164,6
"Ch1902",0.0019376114275377787,0.9668681023413516,2
"Robby",0.001810546255960216,0.9034625817241478,2
"A1",0.0014110452655245445,0.7041115874967477,1
"Adp48",0.0017817346649763404,0.8890855978231939,3
"DavidMar86hdf",0.001361257374059912,0.679267429655896,10
"181.198.3.66",0.0017189367116234935,0.8577494191001233,1
"Kostisl",0.0017232583163940712,0.8599058998806415,1
"Superjuju10",2.795795872062302E-5,0.013951021401590888,1
"Bencemac",3.9856468170687103E-4,0.19888377617172864,1
"201.207.240.110",6.462677775770913E-5,0.03224876210109686,1
"119.160.118.139",0.002004008016032064,1.0,1
"67.209.225.167",3.63860729801041E-4,0.18156650417071948,1
"Apalsola",0.0018915124191207927,0.9438646971412755,2
"Pasleim",6.817170192045448E-4,0.3401767925830679,37
"PoulpyBot",0.0011976219968592642,0.5976133764327729,5
"Royal Export",0.001926371700707792,0.9612594786531882,5787
"Lesko987a",5.447849880015428E-4,0.27184770901276983,15
"GPUBot",0.0018075061999154728,0.9019455937578209,18
"Jane023",0.0019667369283428143,0.9814017272430643,2
"Archeologo",9.776764838508022E-5,0.04878605654415503,1
"Stegop",0.0012132674519200319,0.6054204585080959,1
"Gabygabi",0.002004008016032064,1.0,3
"Cavaliere grande",1.2550641962255296E-4,0.06262770339165392,2
"78.239.73.207",5.683681842657447E-4,0.28361572394860657,1
"MatmaBot",0.0018406981765457652,0.9185083900963368,12
"Visem",7.402815549900957E-5,0.03694004959400578,7
"Volgar",0.0019323666451539956,0.9642509559318438,8
"Innotata",8.672339728939041E-4,0.43274975247405817,1
"ViscoBot",0.001995484999018532,0.9957470145102475,2
"Chalim Kenabru",5.298408062790368E-4,0.2643905623332393,3
"Eyesnore",5.277792655784677E-4,0.2633618535236554,2
"Shogiru",0.002004008016032064,1.0,4
"R0wn1n",7.161952043258792E-4,0.35738140695861376,1
"Jssfrk",0.001754499688972964,0.875495344797509,2
"Tamawashi",7.176732623039108E-4,0.35811895788965153,10
"Magnus Manske",0.0017298338621347528,0.8631870972052417,5
"Nihiltres",0.0014688469433423725,0.7329546247278439,1
"MilanKovacevic",7.036987925212376E-5,0.03511456974680976,1
"Dacoucou",0.0010426076853637801,0.5202612349965263,4
"Jon Harald Søby",6.210406286128469E-4,0.3098992736778106,5
"Bhairupa satwinder",0.002004008016032064,1.0,1
"BotMultichill",0.0011191217211149276,0.5584417388363488,20
"Raymie",4.3420200894968633E-4,0.21666680246589348,1
"Sergey kudryavtsev",0.001300796296865588,0.6490973521359285,3
"Makrobot",8.65205057814837E-4,0.43173732384960367,11
"B.Zsolt",6.843436793302161E-4,0.3414874959857778,10
"Shadowxfox",0.0017635475474491848,0.8800102261771432,2127
"Edoderoo",0.001470997842096357,0.7340279232060821,3
"Warairarepano&amp;Guaicaipuro",0.002004008016032064,1.0,2
"Mozel W.",0.0011657345921451388,0.5817015614804243,1
"Well-Informed Optimist",0.0018627719273574903,0.9295231917513876,1
"Mbch331",3.5784616838841453E-4,0.17856523802581886,2
"Vacation9",2.4778760315557883E-4,0.12364601397463384,1
"Liuxinyu970226",4.5303205345649064E-5,0.022606299467478882,4
"Macdonald-ross",2.3233383961950498E-4,0.11593458597013298,1
"Rogi.Official",0.001968193932804105,0.9821287724692483,599
"EmausBot",0.0014840022980338297,0.740517146718881,4
"94.191.186.202",0.0011834768144822789,0.5905549304266572,1
"Ash Crow",5.00296589101851E-5,0.024964799796182366,1
"K-iczn",0.0019779782932869213,0.9870111683501737,1
"Bjankuloski06",0.0019842445508127427,0.9901380308555586,1
"StrynBot",1.8246527230223868E-4,0.0910501708788171,10
"Paulbe",7.268168453972168E-4,0.3626816058532112,1
"189.133.134.176",1.7566331908326968E-5,0.008765599622255158,1
"Kasymov",0.00162309362707847,0.8099237199121565,1
"Mai-Sachme",4.8070500043174687E-4,0.2398717952154417,1
"Bladyniec",0.0017878891972168264,0.8921567094111964,3593
"Aroche",0.001889610284578962,0.9429155320049021,12765
"WOSlinker",2.3648524812241493E-4,0.11800613881308505,1
"Aristoi",0.00199429912650747,0.9951552641272275,2
"FreightXPress",4.888491010410097E-4,0.24393570141946383,3
"Mapmarks",0.001969982317542361,0.983021176453638,1
"95.86.35.66",7.9287673385672E-4,0.3956454901945033,1
"Jaredzimmerman (WMF)",0.0012118151456550637,0.6046957576818768,3
"UnderlyingBot",0.0017590121315320959,0.8777470536345159,4
"HorayNarea",0.002004008016032064,1.0,2
"Nikosguard",0.0012585194893836274,0.6280012252024301,4
"Gelli1742",0.0011505973605911031,0.5741480829349604,2
"ShonagonBot",0.001879443870609128,0.9378424914339548,3
"LucSaffre",0.002004008016032064,1.0,4
"Sangjinhwa",3.909340133430592E-4,0.19507607265818655,1
"Maurice Flesier",0.0010060147379255817,0.5020013542248652,3
"GZWDer (flood)",8.562947381279511E-4,0.42729107432584756,1
"Romaine",8.846229967533508E-4,0.44142687537992203,5
"A ver",4.415303027365026E-4,0.2203236210655148,4
"Matěj Suchánek",0.0020007084995392467,0.998353541270084,1
"Irfanshaharuddin",0.0019955561335620368,0.9957825106474564,2
"Holder",1.4538898897768337E-4,0.072549105499864,14
"Hsarrazin",0.0016667221709976605,0.8316943633278326,23
